Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:53:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:53:40 PM  all   10.43    0.00    7.59    1.01    0.00    0.13    0.00    0.00    0.00   80.85
11:53:41 PM  all    9.89    0.00    8.01    1.13    0.00    0.44    0.00    0.00    0.00   80.54
11:53:42 PM  all   10.49    0.00    7.76    0.76    0.00    0.06    0.00    0.00    0.00   80.93
11:53:43 PM  all    8.73    0.00    3.67    7.15    0.00    0.19    0.00    0.00    0.00   80.25
11:53:44 PM  all    6.70    0.00    3.03    8.72    0.00    0.38    0.00    0.00    0.00   81.16
11:53:45 PM  all    7.58    0.00    3.44    7.83    0.00    0.32    0.00    0.00    0.00   80.83
11:53:46 PM  all    8.64    0.00    4.35    7.30    0.00    0.26    0.00    0.00    0.00   79.45
11:53:47 PM  all    9.13    0.00    5.02    7.20    0.00    0.06    0.00    0.00    0.00   78.59
11:53:48 PM  all    9.53    0.00    4.03    8.18    0.00    0.06    0.00    0.00    0.00   78.20
11:53:49 PM  all    8.58    0.00    2.92    8.58    0.00    0.06    0.00    0.00    0.00   79.86
11:53:50 PM  all    7.22    0.00    2.28    9.06    0.00    0.13    0.00    0.00    0.00   81.32
11:53:51 PM  all    8.26    0.00    3.05    8.70    0.00    0.13    0.00    0.00    0.00   79.86
11:53:52 PM  all    7.13    0.00    3.28    8.71    0.00    0.25    0.00    0.00    0.00   80.62
