Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:35 PM  all   98.00    0.00    1.37    0.00    0.00    0.06    0.00    0.00    0.00    0.56
11:52:36 PM  all   98.69    0.00    1.31    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:37 PM  all   99.12    0.00    0.88    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:38 PM  all   99.00    0.00    0.94    0.00    0.00    0.06    0.00    0.00    0.00    0.00
11:52:39 PM  all   99.38    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:40 PM  all   99.63    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:41 PM  all   99.38    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:42 PM  all   99.44    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:52:43 PM  all   99.13    0.00    0.81    0.00    0.00    0.06    0.00    0.00    0.00    0.00
11:52:44 PM  all   99.63    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00    0.00
