procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 3853852 277192 3492208    0    0    68  1953 8009    8  4  2 93  0  0  0
 4  0      0 3264740 277284 4031168    0    0     0 525612 27877 29848 13  9 77  1  0  0
 5  0      0 2634576 277384 4650912    0    0     0 605496 30879 52657 14  8 77  1  0  0
 4  0      0 1934652 277528 5316568    0    0     0 642540 29478 53451 12  7 80  1  0  0
 1  4      0 1571936 277688 5645228    0    0     0 355124 37474 64688 12  6 74  8  0  0
 6  3      0 1571748 277888 5645248    0    0     0 52328 38121 62402  9  4 71 16  0  0
 3  3      0 1563908 278056 5645268    0    0     0 51604 33783 58138  9  4 70 16  0  0
 1  4      0 1564176 278264 5642148    0    0     0 51944 35364 57368 10  5 69 16  0  0
 1  4      0 1568200 278448 5642120    0    0     0 51684 33884 56397  7  3 74 16  0  0
 3  4      0 1879660 278664 5642204    0    0     0 50648 31427 50837  5  5 75 16  0  0
 1  4      0 1939968 278876 5642232    0    0     0 46608 30864 49857 10  6 69 15  0  0
 1  4      0 1898792 279068 5642248    0    0     0 46972 28334 48072  9  6 70 15  0  0
 3  3      0 1909036 279324 5642580    0    0     0 47476 30774 53524  6  6 73 15  0  0
 3  4      0 1963812 279516 5642620    0    0     0 46408 26807 47888  5  5 74 15  0  0
 1  0      0 2933036 279632 4684188    0    0     0 25516 18073 30707  2  7 83  8  0  0
