Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:53:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:53:53 PM  all   12.65    0.00    8.92    0.82    0.00    0.19    0.00    0.00    0.00   77.42
11:53:54 PM  all   14.37    0.00    7.91    0.95    0.00    0.06    0.00    0.00    0.00   76.71
11:53:55 PM  all   11.55    0.00    7.39    1.20    0.00    0.06    0.00    0.00    0.00   79.80
11:53:56 PM  all   11.89    0.00    6.10    7.76    0.00    0.06    0.00    0.00    0.00   74.19
11:53:57 PM  all    9.19    0.00    3.70   15.95    0.00    0.38    0.00    0.00    0.00   70.77
11:53:58 PM  all    9.25    0.00    4.06   16.22    0.00    0.19    0.00    0.00    0.00   70.28
11:53:59 PM  all   10.07    0.00    5.04   15.87    0.00    0.32    0.00    0.00    0.00   68.71
11:54:00 PM  all    6.66    0.00    3.17   16.04    0.00    0.32    0.00    0.00    0.00   73.81
11:54:01 PM  all    4.52    0.00    4.71   15.71    0.00    0.25    0.00    0.00    0.00   74.81
11:54:02 PM  all   10.49    0.00    5.76   14.70    0.00    0.19    0.00    0.00    0.00   68.85
11:54:03 PM  all    9.29    0.00    6.19   14.65    0.00    0.00    0.00    0.00    0.00   69.87
11:54:04 PM  all    6.27    0.00    5.69   14.64    0.00    0.26    0.00    0.00    0.00   73.14
11:54:05 PM  all    4.84    0.00    5.16   15.30    0.00    0.19    0.00    0.00    0.00   74.50
11:54:06 PM  all    2.30    0.00    6.57    8.16    0.00    0.19    0.00    0.00    0.00   82.78
