Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:53:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:53:26 PM  all    9.48    0.00    7.71    1.20    0.00    0.13    0.00    0.00    0.00   81.48
11:53:27 PM  all    6.79    0.00    7.99    0.82    0.00    0.19    0.00    0.00    0.00   84.21
11:53:28 PM  all   11.22    0.00    8.76    0.88    0.00    0.19    0.00    0.00    0.00   78.94
11:53:29 PM  all    7.57    0.00    3.66    3.72    0.00    0.57    0.00    0.00    0.00   84.48
11:53:30 PM  all   13.98    0.00    4.47    3.25    0.00    0.26    0.00    0.00    0.00   78.05
11:53:31 PM  all    6.55    0.00    4.01    3.37    0.00    0.57    0.00    0.00    0.00   85.50
11:53:32 PM  all   10.57    0.00    3.56    3.50    0.00    0.32    0.00    0.00    0.00   82.05
11:53:33 PM  all    7.57    0.00    3.62    3.56    0.00    0.45    0.00    0.00    0.00   84.81
11:53:34 PM  all   11.27    0.00    3.63    3.44    0.00    0.45    0.00    0.00    0.00   81.21
11:53:35 PM  all   14.00    0.00    3.17    3.74    0.00    0.32    0.00    0.00    0.00   78.78
11:53:36 PM  all   14.91    0.00    3.24    3.49    0.00    0.25    0.00    0.00    0.00   78.11
11:53:37 PM  all    9.53    0.00    3.71    3.58    0.00    0.45    0.00    0.00    0.00   82.73
11:53:38 PM  all    9.35    0.00    4.42    3.66    0.00    0.63    0.00    0.00    0.00   81.93
