procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 4136280 279648 3495396    0    0    68  2028 8019    8  4  2 93  0  0  0
 6  0      0 3767708 279716 3854256    0    0     0 344964 18371 17683  8  9 82  1  0  0
 6  0      0 3374468 279776 4215104    0    0     0 361300 23848 28404  9 10 81  0  0  0
 4  0      0 3043280 279856 4584296    0    0     0 353028 21522 31295  9  9 81  0  0  0
 5  0      0 2603520 279920 4954812    0    0     0 355552 29181 35517  9 10 81  0  0  0
 3  0      0 2263108 279964 5325336    0    0     0 367176 27639 36041  7 10 83  0  0  0
 3  5      0 1924384 280072 5645636    0    0     0 327164 36836 48606 12 10 75  4  0  0
 9  3      0 1931816 280460 5645664    0    0     0 55308 44881 68126  6  8 57 29  0  0
 1  8      0 1935412 280724 5645696    0    0     0 54392 42713 66688  5  8 57 30  0  0
10  4      0 1941448 280924 5642580    0    0     0 53444 36205 59350  3  7 60 30  0  0
 2  5      0 1947808 281192 5642608    0    0     0 54308 35259 59073  4  8 58 30  0  0
 1  6      0 1950372 281464 5642628    0    0     0 54612 33701 58677  3  7 60 30  0  0
 5  3      0 1965312 281696 5642644    0    0     0 54184 33077 58520  4  7 59 30  0  0
 1  8      0 1975200 281948 5642648    0    0     0 54216 31514 56652  3  7 61 29  0  0
 2  7      0 1984316 282236 5642668    0    0     0 54524 31138 56193  3  7 61 30  0  0
 1  8      0 1992912 282440 5642708    0    0     0 54584 30533 55609  3  7 61 29  0  0
 4  0      0 2184584 282688 5464796    0    0     0 47904 29070 53001  3  6 64 27  0  0
