procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 4250552 273012 3495408    0    0    68  1812 7986    8  4  2 94  0  0  0
19  0      0 4248784 273012 3495424    0    0     0     0 22844 15742 98  1  0  0  0  0
16  0      0 4238596 273012 3492468    0    0     0     0 20047 12963 99  1  0  0  0  0
16  0      0 4243380 273012 3489392    0    0    20   792 18475 8519 99  1  0  0  0  0
17  0      0 4237804 273012 3489244    0    0     0     0 18150 7196 99  1  0  0  0  0
16  0      0 4240048 273012 3489252    0    0     0   144 18133 7638 99  1  0  0  0  0
17  0      0 4239796 273012 3489264    0    0     0     0 18490 8453 99  1  0  0  0  0
17  0      0 4244108 273012 3489272    0    0     0     0 18405 7668 99  1  0  0  0  0
17  0      0 4243596 273020 3489288    0    0     0  1024 17946 6737 99  1  0  0  0  0
20  0      0 4245292 273020 3489300    0    0     0     0 18047 7528 99  1  0  0  0  0
 1  0      0 4243548 273020 3489316    0    0     0    16 18053 7472 99  0  0  0  0  0
