procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 4225360 273124 3489748    0    0    68  1810 7992    8  4  2 94  0  0  0
21  0      0 4221536 273124 3491940    0    0     0     0 19841 12973 99  1  0  0  0  0
16  0      0 4218044 273124 3491948    0    0     0    52 19118 10594 99  1  0  0  0  0
18  0      0 4217876 273124 3490012    0    0     0   776 18432 7971 99  1  0  0  0  0
17  0      0 4191908 273124 3489788    0    0     0     0 18119 6905 99  1  0  0  0  0
19  0      0 4139208 273128 3489796    0    0     0   116 18304 8111 99  1  0  0  0  0
16  0      0 4133748 273128 3494992    0    0     0     0 20806 17168 99  1  0  0  0  0
17  0      0 4135824 273128 3495180    0    0     0     0 25959 19704 98  2  0  0  0  0
