Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:45 PM  all   10.76    0.00    1.19    0.00    0.00    0.88    0.00    0.00    0.00   87.18
11:52:46 PM  all    7.87    0.00    0.81    0.00    0.00    0.94    0.00    0.00    0.00   90.39
11:52:47 PM  all    7.66    0.00    0.93    0.12    0.00    0.44    0.00    0.00    0.00   90.84
11:52:48 PM  all    7.69    0.00    0.50    0.06    0.00    0.38    0.00    0.00    0.00   91.37
11:52:49 PM  all    7.43    0.00    0.75    0.00    0.00    0.31    0.00    0.00    0.00   91.51
11:52:50 PM  all    7.38    0.00    0.50    0.00    0.00    0.31    0.00    0.00    0.00   91.80
11:52:51 PM  all    8.11    0.00    0.37    0.00    0.00    0.37    0.00    0.00    0.00   91.14
11:52:52 PM  all    7.27    0.00    0.44    0.00    0.00    0.13    0.00    0.00    0.00   92.17
11:52:53 PM  all    7.28    0.00    0.31    0.13    0.00    0.19    0.00    0.00    0.00   92.10
11:52:54 PM  all    7.30    0.00    0.44    0.00    0.00    0.37    0.00    0.00    0.00   91.89
