procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 4181056 282688 3496344    0    0    68  2105 8030    8  4  2 93  0  0  0
 3  1      0 3794460 282724 3861288    0    0     0 361428 13329 12879  6  8 85  0  0  0
 3  0      0 3433348 282808 4215756    0    0     0 344828 19718 24594  7 10 82  1  0  0
 5  0      0 3061296 282876 4584720    0    0     0 346028 20002 31553  7  9 83  0  0  0
 5  0      0 2678404 282924 4952972    0    0     0 361224 16835 26701  6  8 85  0  0  0
 7  0      0 2278524 282980 5318608    0    0     0 361196 21255 32259  7  9 84  0  0  0
 2 12      0 1974512 283092 5646044    0    0     0 333528 32063 45230  8 10 77  5  0  0
 1 16      0 1985452 283380 5646056    0    0     0 58880 40470 69209  7  9 31 53  0  0
11  9      0 1984868 283640 5642952    0    0     0 59976 39641 68813  5  8 32 55  0  0
 1 16      0 1985924 283896 5642984    0    0     0 58712 32712 59601  3  7 32 58  0  0
 3  7      0 1988016 284176 5642996    0    0     0 57612 32223 58662  3  7 32 58  0  0
 4 14      0 1990820 284400 5643020    0    0     0 58132 33000 58471  6  7 30 56  0  0
 0 11      0 1994104 284688 5643020    0    0     0 58724 32643 60177  3  7 32 58  0  0
 0 16      0 1997620 284988 5643068    0    0     0 59136 33155 60299  4  8 32 57  0  0
 3 14      0 1998748 285304 5643108    0    0     0 57044 31309 57373  3  7 32 58  0  0
 1 16      0 2003212 285604 5643104    0    0     0 59564 33021 60332  3  8 32 57  0  0
 3  0      0 2095948 285884 5559884    0    0     0 53332 40095 65877 12  8 30 51  0  0
