Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:25 PM  all   51.91    0.00    0.75    0.06    0.00    0.06    0.00    0.00    0.00   47.22
11:52:26 PM  all   51.44    0.00    1.13    0.00    0.00    0.06    0.00    0.00    0.00   47.37
11:52:27 PM  all   51.19    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   48.06
11:52:28 PM  all   54.97    0.00    0.44    0.13    0.00    0.00    0.00    0.00    0.00   44.47
11:52:29 PM  all   52.69    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   46.93
11:52:30 PM  all   51.13    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   48.31
11:52:31 PM  all   51.03    0.00    0.44    0.00    0.00    0.06    0.00    0.00    0.00   48.47
11:52:32 PM  all   51.10    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   48.52
11:52:33 PM  all   50.97    0.00    0.50    0.06    0.00    0.06    0.00    0.00    0.00   48.41
11:52:34 PM  all   53.53    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   45.27
