Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:05 PM  all   13.49    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   86.07
11:52:06 PM  all   13.10    0.00    0.75    0.00    0.00    0.06    0.00    0.00    0.00   86.08
11:52:07 PM  all   13.37    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   85.88
11:52:08 PM  all   13.32    0.00    0.38    0.06    0.00    0.00    0.00    0.00    0.00   86.24
11:52:09 PM  all   13.38    0.00    0.81    0.00    0.00    0.00    0.00    0.00    0.00   85.80
11:52:10 PM  all   13.18    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   86.38
11:52:11 PM  all   13.80    0.00    1.06    0.00    0.00    0.06    0.00    0.00    0.00   85.08
11:52:12 PM  all   14.95    0.00    2.15    0.00    0.00    0.06    0.00    0.00    0.00   82.84
11:52:13 PM  all   16.61    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   82.32
11:52:14 PM  all   15.29    0.00    1.20    0.13    0.00    0.00    0.00    0.00    0.00   83.39
