procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 3948468 274796 3490752    0    0    68  1879 8001    8  4  2 93  0  0  0
 2  1      0 3223224 274884 4179092    0    0     0 673364 25062 33263 10  8 81  1  0  0
 2  0      0 2493348 275016 4858588    0    0     0 656848 31000 55107 10  8 81  1  0  0
 4  0      0 1757272 275148 5541580    0    0     0 657660 31795 63656 10  8 81  1  0  0
 0  2      0 1652676 275320 5644624    0    0     0 152916 28875 50757  9  4 80  7  0  0
 1  2      0 1644672 275520 5644656    0    0     0 45892 28490 49819  7  3 81  9  0  0
 4  0      0 1623804 275728 5641540    0    0     0 40724 23090 40704  8  4 81  8  0  0
 2  1      0 1626348 275884 5641556    0    0     0 37544 22699 38818  9  5 79  7  0  0
 1  2      0 1621608 276004 5642000    0    0     0 38596 27580 42807  9  5 78  7  0  0
 1  2      0 1611244 276160 5642016    0    0     0 42448 28377 45057  9  4 78  8  0  0
 1  2      0 1645100 276368 5642032    0    0     0 46052 28998 48857  9  3 80  9  0  0
 1  2      0 1650108 276628 5642052    0    0     0 45820 25496 45442  7  2 81  9  0  0
 3  1      0 1652204 276900 5642072    0    0     0 46500 33230 51792  8  3 80  9  0  0
 1  1      0 1680832 277156 5642096    0    0     0 45668 31864 48673  7  3 81  9  0  0
