Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:54:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:54:25 PM  all    6.43    0.00    7.94    0.38    0.00    0.25    0.00    0.00    0.00   84.99
11:54:26 PM  all    7.30    0.00    9.21    0.57    0.00    0.38    0.00    0.00    0.00   82.54
11:54:27 PM  all    7.06    0.00    9.02    0.44    0.00    0.19    0.00    0.00    0.00   83.29
11:54:28 PM  all    6.19    0.00    8.02    0.38    0.00    0.13    0.00    0.00    0.00   85.29
11:54:29 PM  all    6.40    0.00    8.75    0.44    0.00    0.06    0.00    0.00    0.00   84.35
11:54:30 PM  all    8.10    0.00    9.96    4.72    0.00    0.26    0.00    0.00    0.00   76.96
11:54:31 PM  all    6.77    0.00    8.28   53.52    0.00    0.33    0.00    0.00    0.00   31.10
11:54:32 PM  all    4.94    0.00    8.10   54.64    0.00    0.33    0.00    0.00    0.00   31.99
11:54:33 PM  all    2.74    0.00    7.05   58.00    0.00    0.52    0.00    0.00    0.00   31.68
11:54:34 PM  all    3.20    0.00    6.99   57.74    0.00    0.26    0.00    0.00    0.00   31.81
11:54:35 PM  all    6.54    0.00    6.80   56.34    0.00    0.20    0.00    0.00    0.00   30.13
11:54:36 PM  all    2.89    0.00    6.50   57.68    0.00    0.46    0.00    0.00    0.00   32.48
11:54:37 PM  all    3.79    0.00    7.46   56.51    0.00    0.39    0.00    0.00    0.00   31.85
11:54:38 PM  all    3.07    0.00    6.80   58.08    0.00    0.33    0.00    0.00    0.00   31.72
11:54:39 PM  all    3.20    0.00    7.51   57.41    0.00    0.39    0.00    0.00    0.00   31.48
11:54:40 PM  all   12.04    0.00    7.37   51.05    0.00    0.33    0.00    0.00    0.00   29.21
