Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:51:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:51:55 PM  all    7.67    0.00    1.01    0.00    0.00    0.06    0.00    0.00    0.00   91.26
11:51:56 PM  all    7.78    0.00    1.69    0.00    0.00    0.06    0.00    0.00    0.00   90.46
11:51:57 PM  all    7.82    0.00    1.51    0.00    0.00    0.06    0.00    0.00    0.00   90.61
11:51:58 PM  all    7.75    0.00    1.25    0.12    0.00    0.06    0.00    0.00    0.00   90.82
11:51:59 PM  all   10.70    0.00    5.03    0.00    0.00    0.00    0.00    0.00    0.00   84.27
11:52:00 PM  all    9.70    0.00    2.64    0.00    0.00    0.13    0.00    0.00    0.00   87.53
11:52:01 PM  all    7.51    0.00    1.31    0.13    0.00    0.13    0.00    0.00    0.00   90.93
11:52:02 PM  all    7.58    0.00    0.75    0.00    0.00    0.13    0.00    0.00    0.00   91.54
11:52:03 PM  all    7.34    0.00    0.82    0.06    0.00    0.19    0.00    0.00    0.00   91.59
11:52:04 PM  all    6.83    0.00    0.69    0.00    0.00    0.06    0.00    0.00    0.00   92.41
