decision_timestamp,cpu_usage,memory_usage,load_avg,process_count,context_switches,avg_cpu_demand,max_cpu_demand,avg_memory_usage,avg_nice_value,interactive_processes,system_processes,selected_pid,selected_cpu_percent,selected_memory_mb,selected_nice,selected_threads,selected_age,selected_type,selected_io_intensity,next_cpu_usage,next_memory_usage,cpu_usage_change,memory_usage_change,time_quantum
1757614829.447797,0.0,69.6,0,299,49144455,314.08000000000004,1432.9,128.37265625,12.8,4,0,0,1432.9,0.0078125,0,48,1757614829.4878716,other,0.0,10.3,69.3,10.3,-0.29999999999999716,2.0
1757614835.7648275,10.3,69.3,0,298,49207079,312.24,1444.9,156.46484375,19.2,3,0,0,1444.9,0.0078125,0,48,1757614835.79782,other,0.0,11.0,69.3,0.6999999999999993,0.0,2.0
1757614842.55405,11.0,69.3,0,298,49296764,307.24000000000007,1443.9,89.55078125,12.8,2,0,0,1443.9,0.0078125,0,48,1757614842.5990174,other,0.0,7.9,69.2,-3.0999999999999996,-0.09999999999999432,2.0
1757614848.7317252,7.9,69.2,0,297,49343654,312.7,1477.4,62.99609375,6.4,0,0,0,1477.4,0.0078125,0,48,1757614848.7648075,other,0.0,7.4,69.2,-0.5,0.0,2.0
