timestamp,cpu_percent,per_core_percent,ram_percent,cpu_temperature,fan_speed_rpm,battery_percent,battery_plugged,battery_time_left_sec,pid,process_name,process_cpu_percent,process_memory_percent,process_nice,process_status,process_threads,process_io_read_bytes,process_io_write_bytes,context_switch_rate,cpu_burst_estimate
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1804,csd-media-keys,0,0.17128838978504793,0,sleeping,6,2797568,8192,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1806,csd-background,0,0.2113496138966243,0,sleeping,5,1527808,0,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1807,csd-a11y-settings,0,0.03818256087693969,0,sleeping,5,28672,0,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1808,csd-automount,0,0.15412654726323197,0,sleeping,5,163840,0,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1811,at-spi-bus-launcher,0,0.049556089648794065,0,sleeping,5,0,0,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1817,csd-wacom,0,0.15346647639700825,0,sleeping,4,1789952,0,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1822,gvfsd,0,0.04711890491196812,0,sleeping,4,577536,0,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1828,csd-housekeeping,0,0.14841439553629615,0,sleeping,5,53248,0,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1829,dbus-daemon,0,0.030871006666461878,0,sleeping,1,0,0,0,0.1
2025-10-09 14:37:30,2.6,"[3.9, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0]",28.3,,0,30.08914260003937,False,4932,1835,csd-print-notifications,0,0.064991592982025,0,sleeping,4,53248,0,0,0.1
